Feature.ID	Confidence.y	Kingdom	Phylum	Class	Order	Family	Genus	Species
d193d00e6224e816f97fb4b46064a057	0.9869964178611439	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	g__Flavobacterium	s__succinicans
4ed8c7b1f3972d37199f9b85c5312b49	1	k__Bacteria	p__Planctomycetes	c__Phycisphaerae	o__WD2101	f__	g__	s__
40539d30df724847646a49724d8cbe72	0.7657667194874286	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Phyllobacteriaceae	g__Mesorhizobium	s__
0af4cd0ba3555b31d62ef87fc360b1d4	0.790914642594431	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Methylobacteriaceae	g__Methylobacterium	s__organophilum
a56388b90b72e4412ee1260fb03aa903	0.9958243307173655	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	NA	NA
9e510a9e13b79486f9ec916ee64c54c0	0.9999999156662831	k__Bacteria	p__Bacteroidetes	c__Cytophagia	o__Cytophagales	f__Cytophagaceae	g__Hymenobacter	s__
45aa16aed7c07c535f6bf5a2342f8a9e	0.9853828854427301	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Novosphingobium	s__
a88c80e9f232687be33b9c27ddb56845	0.9983980371893005	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Pseudonocardiaceae	g__Pseudonocardia	s__
5d766432b65457119356698514a44c7a	0.9159754804513707	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Peptostreptococcaceae	g__	s__
6dda5dbdd1d51a8506af33b007e031ef	0.8868812150975778	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas	s__
c6d91f064f210136feeb930d3741fbb4	0.9704559826517984	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__[Weeksellaceae]	g__	s__
b4abb93df91f6401e2180fb53bd2c73e	0.9999952810335416	k__Bacteria	p__Acidobacteria	c__Acidobacteria-6	o__iii1-15	f__mb2424	g__	s__
223aae571e1f08a866a7ac1dd357e049	0.9995986640281322	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__	s__
4a0edffcb166fbaecb935c57c85e6f2a	0.9999977090616406	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Microbacteriaceae	g__Curtobacterium	s__
eb404a50242726dfb6a2a1a877e076e9	0.9993549480388371	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	s__muralis
ccefb82c9d1cf34f6b97f6cb91142d59	0.9872839338633872	k__Bacteria	p__Fusobacteria	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium	s__
a60845c6a91a75081d8261d86f232ba8	0.9999996749252023	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Faecalibacterium	s__prausnitzii
e0d1973eac8773f7d2a05ad8b4886768	0.9884990994949423	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__	f__	g__	s__
c67e4e1d09ac68c81b203bc577196604	0.9982455165427937	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	g__Flavobacterium	s__
14d9631e6791ae213f5f384a289cbef2	0.9999999999289315	k__Bacteria	p__Bacteroidetes	c__Cytophagia	o__Cytophagales	f__Cytophagaceae	g__Hymenobacter	s__
20e112e29e13b4e792e4a86196ca2e48	0.9451226369915963	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Dorea	s__
e338614681c042e4eb414ff0b9c2d769	0.7839888091105908	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Sinobacteraceae	g__	s__
7a69c8fc6232e43c57d2af8092650cfc	0.9986880504596766	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	g__Facklamia	s__
d8cdae52172cf2edbe0674c1ff9f0d29	0.9999082768745902	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lactobacillus	s__
bc598aa5765aa0075f6a17ff54595e30	0.9969812465559222	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__	g__	s__
209c3ce9ad8148b6d18d16a18f6357fd	0.9932351098167488	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Nakamurellaceae	g__	s__
fcbbc26683f9f6c100e9e11c2e7d7538	0.9999999950003371	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	g__Trebouxia	s__aggregata
5109ea005efeda80d7bd8d213dc2b7eb	0.9567436859085033	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Aurantimonadaceae	g__	s__
78187508a3e65eb630b2a511f37651b5	0.9206472580353728	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Pedobacter	s__
7c3dd0fd95d237f434be8ce96d201ed0	0.992786592206031	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	NA	NA
20f634f52b131818e5293e1b3a1d4f28	0.8153566613800382	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Pseudonocardiaceae	g__Amycolatopsis	s__
05357571ef147b9b4bcef0fbcef5becd	0.9999989092718669	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	NA	NA	NA
f85c154f42560d725331b88051b315f5	0.9981817636203542	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Porphyromonadaceae	g__Porphyromonas	s__
7098304e46cc051dbab4ceef1aa31981	0.9994614730887864	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__[Paraprevotellaceae]	g__[Prevotella]	s__
7f2915bb47d31ddcb43eb6a9d06ee60a	0.9999999461289392	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Peptostreptococcaceae	g__Peptostreptococcus	s__
3000d37673cea303620195baae4047f6	0.9995905849529211	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__	s__
824d3d3a797375db44d574b144717260	0.9956200410238198	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Pseudonocardiaceae	g__Pseudonocardia	s__
f1332535dd49010822f0d1d504b01ad1	0.9998655013211626	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Kineosporiaceae	g__Kineococcus	s__
32d180b87a1dc2972395d65b75539f5b	0.9998572561942147	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Hyphomicrobiaceae	g__	s__
